,credit.policy,int.rate,installment,log.annual.inc,dti,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,grade,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
0,1.0,0.1189,829.1,11.35040654,19.48,5639.958333,28854.0,52.1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
1,1.0,0.1071,228.22,11.08214255,14.29,2760.0,33623.0,76.7,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
2,1.0,0.1357,366.86,10.37349118,11.63,4710.0,3511.0,25.6,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
3,1.0,0.1008,162.34,11.35040654,8.1,2699.958333,33667.0,73.2,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
7,1.0,0.1114,131.22,11.00209984,11.08,5116.0,24220.0,68.6,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0
9,1.0,0.1221,84.12,10.20359214,10.0,2730.041667,5630.0,23.0,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
12,1.0,0.0859,316.11,10.93310697,15.49,6519.958333,6068.0,16.7,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14,1.0,0.0863,209.54,9.487972109,9.73,1559.958333,6282.0,44.6,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
15,1.0,0.1103,327.53,10.73891524,13.04,8159.958333,5394.0,53.4,1.0,0.0,0.0,0.0,2,0,0,0,0,1,0
16,1.0,0.1317,77.69,10.52277288,2.26,3895.958333,2211.0,88.4,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
17,1.0,0.0894,476.58,11.60823564,7.07,6510.958333,7586.0,52.7,1.0,0.0,0.0,0.0,2,1,0,0,0,0,0
18,1.0,0.1039,584.12,10.49127422,3.8,2760.0,8311.0,59.8,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
19,1.0,0.1513,173.65,11.00209984,2.74,1126.958333,591.0,84.4,3.0,0.0,0.0,0.0,2,0,0,0,0,1,0
20,1.0,0.08,188.02,11.22524339,16.08,4888.958333,29797.0,23.2,1.0,0.0,0.0,0.0,2,0,0,0,0,0,0
22,1.0,0.1355,339.6,11.51292546,7.94,1939.958333,21162.0,57.7,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0
23,1.0,0.0788,484.85,11.73606902,7.05,5640.041667,16931.0,34.6,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0
26,1.0,0.0743,155.38,11.08214255,0.28,4649.958333,1576.0,5.7,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
28,1.0,0.0743,155.38,12.20607265,0.28,4516.958333,3164.0,13.7,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
30,1.0,0.0807,156.84,11.51292546,2.3,3148.958333,9698.0,19.4,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
